iter	Passed	Remaining
751	9726	3207
752	9739	3194
753	9749	3180
754	9761	3167
755	9772	3154
756	9783	3140
757	9794	3126
758	9805	3113
759	9817	3100
760	9827	3086
761	9839	3073
762	9853	3060
763	9867	3048
764	9879	3034
765	9891	3021
766	9902	3008
767	9912	2994
768	9923	2980
769	9937	2968
770	9949	2955
771	9959	2941
772	9971	2928
773	9983	2915
774	9994	2901
775	10005	2888
776	10017	2874
777	10027	2861
778	10038	2847
779	10050	2834
780	10061	2821
781	10073	2808
782	10085	2795
783	10096	2781
784	10107	2768
785	10118	2754
786	10129	2741
787	10139	2727
788	10151	2714
789	10163	2701
790	10175	2688
791	10186	2675
792	10198	2662
793	10211	2649
794	10223	2636
795	10234	2622
796	10245	2609
797	10257	2596
798	10268	2583
799	10297	2574
800	10368	2575
801	10445	2578
802	10480	2571
803	10519	2564
804	10544	2554
805	10562	2542
806	10579	2530
807	10594	2517
808	10606	2504
809	10617	2490
810	10631	2477
811	10645	2464
812	10660	2452
813	10672	2438
814	10684	2425
815	10695	2411
816	10708	2398
817	10720	2385
818	10731	2371
819	10742	2358
820	10753	2344
821	10765	2331
822	10776	2317
823	10790	2304
824	10800	2290
825	10812	2277
826	10824	2264
827	10835	2250
828	10846	2237
829	10859	2224
830	10871	2210
831	10882	2197
832	10893	2184
833	10906	2170
834	10919	2157
835	10930	2144
836	10943	2131
837	10957	2118
838	10971	2105
839	10983	2092
840	10994	2078
841	11006	2065
842	11019	2052
843	11033	2039
844	11046	2026
845	11059	2013
846	11073	2000
847	11086	1987
848	11100	1974
849	11110	1960
850	11122	1947
851	11135	1934
852	11147	1921
853	11157	1907
854	11171	1894
855	11184	1881
856	11198	1868
857	11213	1855
858	11224	1842
859	11237	1829
860	11250	1816
861	11264	1803
862	11278	1790
863	11292	1777
864	11304	1764
865	11318	1751
866	11329	1738
867	11340	1724
868	11351	1711
869	11362	1697
870	11372	1684
871	11383	1670
872	11394	1657
873	11404	1644
874	11415	1630
875	11427	1617
876	11437	1604
877	11449	1590
878	11461	1577
879	11472	1564
880	11482	1551
881	11493	1537
882	11504	1524
883	11514	1510
884	11526	1497
885	11537	1484
886	11547	1471
887	11559	1457
888	11571	1444
889	11583	1431
890	11594	1418
891	11604	1405
892	11615	1391
893	11626	1378
894	11638	1365
895	11648	1352
896	11659	1338
897	11671	1325
898	11681	1312
899	11692	1299
900	11703	1285
901	11715	1272
902	11726	1259
903	11737	1246
904	11747	1233
905	11758	1219
906	11769	1206
907	11779	1193
908	11790	1180
909	11801	1167
910	11811	1153
911	11823	1140
912	11834	1127
913	11845	1114
914	11857	1101
915	11871	1088
916	11890	1076
917	11905	1063
918	11922	1050
919	11936	1037
920	11951	1025
921	11967	1012
922	11977	999
923	11990	986
924	12003	973
925	12016	960
926	12027	947
927	12039	934
928	12051	921
929	12064	908
930	12074	894
931	12087	881
932	12101	869
933	12113	856
934	12124	842
935	12137	829
936	12150	816
937	12163	803
938	12174	790
939	12187	777
940	12199	764
941	12211	751
942	12222	738
943	12235	725
944	12247	712
945	12262	699
946	12277	687
947	12287	674
948	12299	661
949	12312	648
950	12325	635
951	12335	621
952	12347	608
953	12361	596
954	12374	583
955	12385	570
956	12397	557
957	12409	544
958	12421	531
959	12432	518
960	12444	505
961	12456	492
962	12467	479
963	12479	466
964	12491	453
965	12503	440
966	12514	427
